target,Original-1-thread,Original-12-threads,ABC-1-thread,ABC-12-threads
clamscan,14.660595583747636,5.365594850620255,362.9812720493719,344.0755042278761
make_dparser,2.218726237621013,0.7668577628792264,86.54212891950738,83.76862147628397
SIBsim4,1.1279032039965387,0.8097349734998716,28.57224614000006,28.109757572747185
aha,0.332962223499635,0.307230619375332,2.5277389266266255,2.502521294874896
viterbi,0.38921431050403044,0.2868337572544988,3.1144846425013384,2.950064072250825
siod,1.7432465106285235,1.0252334722499654,50.894511006004905,50.151781763379404
treecc,1.6753364902506291,0.5312452711223159,58.78345768762301,56.946680814285564
SPASS,9.659351810747467,1.896460707001097,361.34459376625455,349.44075028374937
burg,1.2246949567488628,0.46620260774943745,26.902346927126928,25.843489222876087
Obsequi,1.029172327118431,0.38124845849961275,22.894112295249215,22.04763039050522
sgefa,0.5602038126307889,0.3884484776390309,7.353535600126634,6.935990705995209
hbd,1.2697837167434045,0.44997088850141154,38.05659059475511,36.78866502013261
lambda,0.7042047245013237,0.5448168456241547,32.996059582746966,32.70654909975565
oggenc,3.803580216001137,3.7920005740052147,131.57038293575533,130.27585989524596
sqlite3,11.267198279623699,10.882739778502582,281.934817209607,279.25801381673955
lua,2.820498357501492,0.7396555821251241,84.02446734562182,81.01746822525456
ldecod,5.129294482492696,1.5564200760054518,215.59231414887472,210.19013295924742
lemon,1.0064798295024957,0.9874719649997132,36.01984599401476,34.167442123426426
hexxagon,0.7969614769972395,0.45059881799897994,13.28556007338193,12.70783854149704
kc,8.752474023876857,3.1889390238684427,732.1037122712551,718.1145860581237
spiff,0.8572275487495062,0.36022160212451126,14.735148349995143,14.070236715004285
lencod,11.771883247005462,2.8307822127535474,484.79156801186036,470.78630679037815
